ID,CitiesVisited
852-09,NYC Only
256-17,NYC Only
247-19,NYC Only
974-03,NYC Only
458-15,NYC Only
582-28,NYC Only
880-17,NYC Only
56-16,NYC Only
693-06,NYC Only
323-19,NYC Only
1011-11,NYC Only
492-18,NYC Only
629-06,NYC Only
997-31,NYC Only
562-04,NYC Only
230-06,NYC Only
931-18,NYC Only
417-19,NYC Only
654-03,NYC Only
518-04,NYC Only
24-27,NYC Only
439-08,NYC Only
30-05,NYC Only
449-04,NYC Only
902-31,NYC Only
877-06,NYC Only
984-21,NYC Only
447-02,NYC Only
246-21,NYC Only
979-04,NYC Only
840-23,NYC Only
414-31,NYC Only
287-21,NYC Only
509-15,NYC Only
902-16,NYC Only
537-13,NYC Only
338-16,NYC Only
631-07,NYC Only
431-09,NYC Only
673-06,NYC Only
859-04,NYC Only
549-28,NYC Only
696-15,NYC Only
575-08,NYC Only
961-23,NYC Only
782-10,NYC Only
99-06,NYC Only
221-10,NYC Only
830-28,NYC Only
1068-25,NYC Only
188-10,NYC Only
443-14,NYC Only
527-15,NYC Only
1039-29,NYC Only
241-09,NYC Only
981-25,NYC Only
11-28,NYC Only
1011-29,NYC Only
328-03,NYC Only
680-03,NYC Only
385-29,NYC Only
415-06,NYC Only
269-15,NYC Only
184-31,NYC Only
166-28,NYC Only
142-29,NYC Only
940-07,NYC Only
571-17,NYC Only
20-06,NYC Only
991-17,NYC Only
131-28,NYC Only
202-12,NYC Only
565-19,NYC Only
331-16,NYC Only
481-21,NYC Only
683-03,NYC Only
67-28,NYC Only
8-23,NYC Only
461-26,NYC Only
742-01,NYC Only
453-10,NYC Only
745-05,NYC Only
968-17,NYC Only
43-12,NYC Only
769-14,NYC Only
922-13,NYC Only
999-02,NYC Only
616-19,NYC Only
800-18,NYC Only
983-27,NYC Only
144-08,NYC Only
969-16,NYC Only
773-07,NYC Only
475-01,NYC Only
715-22,NYC Only
366-03,NYC Only
1060-16,NYC Only
1059-17,NYC Only
10-25,NYC Only
15-15,NYC Only
247-31,NYC Only
265-26,NYC Only
1075-08,NYC Only
397-23,NYC Only
40-09,NYC Only
18-05,NYC Only
799-27,NYC Only
384-04,NYC Only
728-17,NYC Only
389-01,NYC Only
107-01,NYC Only
76-21,NYC Only
918-03,NYC Only
852-07,NYC Only
481-04,NYC Only
316-16,NYC Only
902-14,NYC Only
131-03,NYC Only
827-11,NYC Only
186-04,NYC Only
662-02,NYC Only
167-08,NYC Only
142-27,NYC Only
593-12,NYC Only
429-11,NYC Only
976-01,NYC Only
664-25,NYC Only
748-05,NYC Only
249-17,NYC Only
425-09,NYC Only
562-18,NYC Only
660-30,NYC Only
1038-01,NYC Only
397-13,NYC Only
916-07,NYC Only
638-14,NYC Only
667-08,NYC Only
97-18,NYC Only
579-29,NYC Only
396-21,NYC Only
457-05,NYC Only
1082-12,NYC Only
601-29,NYC Only
985-11,NYC Only
474-12,NYC Only
149-25,NYC Only
256-27,NYC Only
34-11,NYC Only
984-18,NYC Only
310-27,NYC Only
386-25,NYC Only
97-03,NYC Only
195-17,NYC Only
1009-30,NYC Only
760-10,NYC Only
293-09,NYC Only
489-25,NYC Only
88-04,NYC Only
759-28,NYC Only
302-29,NYC Only
803-18,NYC Only
543-11,NYC Only
402-24,NYC Only
33-04,NYC Only
131-05,NYC Only
562-14,NYC Only
922-05,NYC Only
305-08,NYC Only
597-27,NYC Only
722-14,NYC Only
78-09,NYC Only
748-19,NYC Only
664-01,NYC Only
397-04,NYC Only
1012-07,NYC Only
231-15,NYC Only
609-27,NYC Only
661-11,NYC Only
840-08,NYC Only
982-10,NYC Only
601-02,NYC Only
780-05,NYC Only
483-26,NYC Only
361-18,NYC Only
419-08,NYC Only
386-01,NYC Only
1019-15,NYC Only
534-27,NYC Only
999-28,NYC Only
389-19,NYC Only
65-23,NYC Only
672-27,NYC Only
657-25,NYC Only
440-08,NYC Only
436-01,NYC Only
598-01,NYC Only
99-04,NYC Only
649-17,NYC Only
9-01,NYC Only
803-08,NYC Only
952-27,NYC Only
120-01,NYC Only
258-04,NYC Only
489-23,NYC Only
675-16,NYC Only
188-31,NYC Only
190-06,NYC Only
953-17,NYC Only
386-10,NYC Only
115-15,NYC Only
388-03,NYC Only
126-19,NYC Only
281-10,NYC Only
456-04,NYC Only
873-01,NYC Only
427-06,NYC Only
658-23,NYC Only
778-27,NYC Only
529-04,NYC Only
63-08,NYC Only
267-29,NYC Only
275-21,NYC Only
869-12,NYC Only
311-01,NYC Only
685-10,NYC Only
217-13,NYC Only
312-11,NYC Only
462-14,NYC Only
531-08,NYC Only
516-09,NYC Only
353-06,NYC Only
660-03,NYC Only
284-22,NYC Only
1000-12,NYC Only
376-27,NYC Only
182-27,NYC Only
16-27,NYC Only
208-31,NYC Only
609-08,NYC Only
598-25,NYC Only
440-15,NYC Only
261-21,NYC Only
562-03,NYC Only
321-08,NYC Only
280-09,NYC Only
194-14,NYC Only
117-18,NYC Only
385-31,NYC Only
719-13,NYC Only
414-05,NYC Only
982-16,NYC Only
144-15,NYC Only
90-25,NYC Only
763-30,NYC Only
1-01,NYC Only
746-03,NYC Only
230-31,NYC Only
628-04,NYC Only
81-04,NYC Only
531-26,NYC Only
901-23,NYC Only
417-07,NYC Only
669-16,NYC Only
429-15,NYC Only
851-08,NYC Only
611-25,NYC Only
203-04,NYC Only
260-14,NYC Only
1014-18,NYC Only
820-19,NYC Only
370-23,NYC Only
303-11,NYC Only
578-19,NYC Only
1025-10,NYC Only
497-11,NYC Only
371-25,NYC Only
383-19,NYC Only
880-25,NYC Only
895-05,NYC Only
444-05,NYC Only
760-03,NYC Only
648-31,NYC Only
962-05,NYC Only
894-05,NYC Only
943-26,NYC Only
982-03,NYC Only
993-13,NYC Only
879-23,NYC Only
281-30,NYC Only
819-02,NYC Only
1039-01,NYC Only
599-24,NYC Only
429-17,NYC Only
621-29,NYC Only
230-17,NYC Only
310-07,NYC Only
460-26,NYC Only
722-02,NYC Only
1009-17,NYC Only
1003-10,NYC Only
962-08,NYC Only
1000-13,NYC Only
1009-01,NYC Only
131-25,NYC Only
269-13,NYC Only
123-01,NYC Only
491-22,NYC Only
280-21,NYC Only
80-07,NYC Only
50-31,NYC Only
936-07,NYC Only
515-01,NYC Only
246-29,NYC Only
749-30,NYC Only
32-01,NYC Only
613-15,NYC Only
1014-29,NYC Only
144-01,NYC Only
879-18,NYC Only
189-24,NYC Only
1078-15,NYC Only
1011-10,NYC Only
906-25,NYC Only
708-08,NYC Only
361-27,NYC Only
374-09,NYC Only
578-10,NYC Only
216-01,NYC Only
504-26,NYC Only
536-25,NYC Only
473-31,NYC Only
314-14,NYC Only
763-21,NYC Only
565-16,NYC Only
616-25,NYC Only
815-27,NYC Only
986-13,NYC Only
290-03,NYC Only
445-13,NYC Only
276-31,NYC Only
816-31,NYC Only
208-08,NYC Only
501-21,NYC Only
473-26,NYC Only
269-14,NYC Only
667-10,NYC Only
302-14,NYC Only
398-19,NYC Only
1078-25,NYC Only
240-16,NYC Only
635-28,NYC Only
638-13,NYC Only
902-22,NYC Only
166-05,NYC Only
819-03,NYC Only
1015-04,NYC Only
409-11,NYC Only
577-10,NYC Only
371-08,NYC Only
705-09,NYC Only
642-28,NYC Only
773-23,NYC Only
620-15,NYC Only
243-15,NYC Only
799-13,NYC Only
60-04,NYC Only
402-11,NYC Only
643-23,NYC Only
793-07,NYC Only
659-19,NYC Only
47-24,NYC Only
249-25,NYC Only
689-03,NYC Only
370-29,NYC Only
969-23,NYC Only
971-11,NYC Only
216-28,NYC Only
817-29,NYC Only
809-14,NYC Only
624-06,NYC Only
773-16,NYC Only
432-06,NYC Only
658-15,NYC Only
1072-01,NYC Only
581-13,NYC Only
916-24,NYC Only
404-31,NYC Only
107-12,NYC Only
381-10,NYC Only
260-03,NYC Only
89-31,NYC Only
274-03,NYC Only
247-06,NYC Only
535-17,NYC Only
311-18,NYC Only
338-22,NYC Only
512-22,NYC Only
442-15,NYC Only
359-05,NYC Only
126-10,NYC Only
1044-16,NYC Only
710-02,NYC Only
817-05,NYC Only
182-25,NYC Only
834-21,NYC Only
889-19,NYC Only
541-10,NYC Only
188-23,NYC Only
55-03,NYC Only
509-19,NYC Only
564-15,NYC Only
742-04,NYC Only
805-02,NYC Only
178-31,NYC Only
614-22,NYC Only
571-18,NYC Only
182-19,NYC Only
355-04,NYC Only
42-24,NYC Only
590-14,NYC Only
877-31,NYC Only
72-04,NYC Only
1006-14,NYC Only
326-22,NYC Only
57-17,NYC Only
272-30,NYC Only
1068-21,NYC Only
663-05,NYC Only
585-31,NYC Only
738-07,NYC Only
863-25,NYC Only
377-17,NYC Only
964-01,NYC Only
468-11,NYC Only
685-01,NYC Only
672-04,NYC Only
1006-07,NYC Only
1052-23,NYC Only
385-23,NYC Only
906-26,NYC Only
941-28,NYC Only
935-31,NYC Only
129-05,NYC Only
348-04,NYC Only
572-13,NYC Only
1033-05,NYC Only
1039-12,NYC Only
585-17,NYC Only
276-12,NYC Only
856-11,NYC Only
673-17,NYC Only
865-12,NYC Only
371-05,NYC Only
402-07,NYC Only
292-08,NYC Only
664-16,NYC Only
443-21,NYC Only
705-23,NYC Only
691-07,NYC Only
613-17,NYC Only
668-18,NYC Only
512-29,NYC Only
40-04,NYC Only
511-22,NYC Only
979-07,NYC Only
742-15,NYC Only
840-22,NYC Only
529-23,NYC Only
428-15,NYC Only
310-04,NYC Only
611-16,NYC Only
679-28,NYC Only
34-13,NYC Only
449-23,NYC Only
832-19,NYC Only
639-01,NYC Only
826-25,NYC Only
259-31,NYC Only
957-19,NYC Only
1079-14,NYC Only
37-23,NYC Only
381-04,NYC Only
1044-23,NYC Only
74-12,NYC Only
386-16,NYC Only
311-23,NYC Only
144-29,NYC Only
679-14,NYC Only
396-17,NYC Only
614-05,NYC Only
714-09,NYC Only
807-31,NYC Only
585-29,NYC Only
243-18,NYC Only
99-25,NYC Only
607-03,NYC Only
30-28,NYC Only
660-10,NYC Only
1000-10,NYC Only
395-03,NYC Only
969-25,NYC Only
609-23,NYC Only
1059-07,NYC Only
357-16,NYC Only
7-21,NYC Only
611-28,NYC Only
1044-29,NYC Only
854-03,NYC Only
561-16,NYC Only
28-26,NYC Only
825-05,NYC Only
67-14,NYC Only
825-13,NYC Only
883-18,NYC Only
125-21,NYC Only
1083-14,NYC Only
566-27,NYC Only
531-11,NYC Only
841-23,NYC Only
903-25,NYC Only
874-08,NYC Only
977-11,NYC Only
440-25,NYC Only
211-28,NYC Only
474-29,NYC Only
702-03,NYC Only
820-22,NYC Only
871-19,NYC Only
131-26,NYC Only
1059-06,NYC Only
397-12,NYC Only
287-06,NYC Only
375-31,NYC Only
404-09,NYC Only
233-14,NYC Only
1003-09,NYC Only
772-05,NYC Only
231-12,NYC Only
188-15,NYC Only
790-12,NYC Only
316-23,NYC Only
996-26,NYC Only
323-06,NYC Only
778-11,NYC Only
243-01,NYC Only
657-27,NYC Only
49-02,NYC Only
964-06,NYC Only
972-18,NYC Only
736-15,NYC Only
312-17,NYC Only
932-01,NYC Only
453-14,NYC Only
474-16,NYC Only
500-14,NYC Only
723-05,NYC Only
379-12,NYC Only
1051-13,NYC Only
807-24,NYC Only
927-23,NYC Only
843-13,NYC Only
310-31,NYC Only
105-07,NYC Only
42-18,NYC Only
993-28,NYC Only
516-13,NYC Only
459-21,NYC Only
924-04,NYC Only
689-01,NYC Only
684-10,NYC Only
465-03,NYC Only
752-06,NYC Only
776-08,NYC Only
554-10,NYC Only
180-02,NYC Only
759-05,NYC Only
601-27,NYC Only
483-23,NYC Only
907-12,NYC Only
745-18,NYC Only
496-04,NYC Only
57-08,NYC Only
783-03,NYC Only
616-26,NYC Only
609-13,NYC Only
712-21,NYC Only
913-22,NYC Only
1019-21,NYC Only
1003-19,NYC Only
180-08,NYC Only
212-18,NYC Only
763-05,NYC Only
1051-14,NYC Only
652-21,NYC Only
1048-31,NYC Only
513-19,NYC Only
863-02,NYC Only
897-04,NYC Only
741-05,NYC Only
792-12,NYC Only
136-08,NYC Only
507-21,NYC Only
352-17,NYC Only
249-28,NYC Only
845-16,NYC Only
363-07,NYC Only
685-17,NYC Only
314-10,NYC Only
244-31,NYC Only
315-13,NYC Only
416-07,NYC Only
529-03,NYC Only
65-02,NYC Only
409-31,NYC Only
291-03,NYC Only
741-01,NYC Only
703-03,NYC Only
1021-08,NYC Only
105-13,NYC Only
129-08,NYC Only
826-19,NYC Only
258-18,NYC Only
484-11,NYC Only
592-01,NYC Only
1019-03,NYC Only
661-15,NYC Only
746-02,NYC Only
870-04,NYC Only
386-14,NYC Only
90-31,NYC Only
730-10,NYC Only
648-18,NYC Only
735-04,NYC Only
915-15,NYC Only
117-15,NYC Only
752-16,NYC Only
79-28,NYC Only
434-08,NYC Only
984-11,NYC Only
38-26,NYC Only
356-15,NYC Only
556-01,NYC Only
720-03,NYC Only
540-29,NYC Only
572-11,NYC Only
607-28,NYC Only
677-10,NYC Only
34-04,NYC Only
37-19,NYC Only
1031-01,NYC Only
984-07,NYC Only
782-23,NYC Only
69-27,NYC Only
247-12,NYC Only
597-10,NYC Only
981-01,NYC Only
544-16,NYC Only
402-22,NYC Only
443-23,NYC Only
491-29,NYC Only
822-03,NYC Only
367-05,NYC Only
1061-31,NYC Only
532-03,NYC Only
1054-09,NYC Only
192-23,NYC Only
938-23,NYC Only
280-19,NYC Only
965-03,NYC Only
443-08,NYC Only
616-15,NYC Only
298-22,NYC Only
445-11,NYC Only
314-17,NYC Only
1071-29,NYC Only
483-31,NYC Only
18-23,NYC Only
1038-15,NYC Only
873-24,NYC Only
